id,name
en:salt,Salt
en:sugar,Sugar
en:water,Water
en:flavouring,Flavouring
en:oil-and-fat,Oil and fat
en:vegetable-oil-and-fat,Vegetable oil and fat
en:vegetable,Vegetable
en:dairy,Dairy
en:cereal,Cereal
en:natural-flavouring,Natural flavouring
en:vegetable-oil,Vegetable oil
en:root-vegetable,Root vegetable
en:flour,Flour
en:wheat,Wheat
en:fruit,Fruit
en:starch,Starch
en:spice,Spice
en:added-sugar,Added sugar
en:cereal-flour,Cereal flour
en:e330,E330
en:glucose,Glucose
en:milk,Milk
en:wheat-flour,Wheat flour
en:disaccharide,Disaccharide
en:seed,Seed
en:e322,E322
en:onion,Onion
en:colour,Colour
en:e322i,E322i
en:garlic,Garlic
en:vitamins,Vitamins
en:preservative,Preservative
en:cocoa,Cocoa
en:minerals,Minerals
en:corn-starch,Corn starch
en:soya-lecithin,Soya lecithin
en:yeast,Yeast
en:egg,Egg
en:emulsifier,Emulsifier
en:herb,Herb
en:pepper,Pepper
en:modified-starch,Modified starch
en:dextrose,Dextrose
en:plant,Plant
en:vinegar,Vinegar
en:sunflower-oil,Sunflower oil
en:corn-syrup,Corn syrup
en:nut,Nut
en:e375,E375
en:rapeseed-oil,Rapeseed oil
en:e500,E500
en:thiamin,Thiamin
en:palm-oil-and-fat,Palm oil and fat
en:iron,Iron
en:e101,E101
en:tomato,Tomato
en:monosaccharide,Monosaccharide
en:legume,Legume
en:folate,Folate
en:folic-acid,Folic acid
en:milk-powder,Milk powder
en:sea-salt,Sea salt
en:ferment,Ferment
en:cream,Cream
en:e415,E415
en:protein,Protein
en:enzyme,Enzyme
en:palm-oil,Palm oil
en:cocoa-butter,Cocoa butter
en:e300,E300
en:artificial-flavouring,Artificial flavouring
en:citrus-fruit,Citrus fruit
en:thiamin-mononitrate,Thiamin mononitrate
en:tree-nut,Tree nut
en:fruit-juice,Fruit juice
en:animal,Animal
en:whey,Whey
en:microbial-culture,Microbial culture
en:e500ii,E500ii
en:soya,Soya
en:fructose,Fructose
en:rice,Rice
en:acid,Acid
en:maltodextrins,Maltodextrins
en:antioxidant,Antioxidant
en:soya-oil,Soya oil
en:lactic-ferments,Lactic ferments
en:fat,Fat
en:corn,Corn
en:e471,E471
en:raising-agent,Raising agent
en:cocoa-paste,Cocoa paste
en:skimmed-milk-powder,Skimmed milk powder
en:e412,E412
en:e202,E202
en:cheese,Cheese
en:cane-sugar,Cane sugar
en:glucose-fructose-syrup,Glucose-fructose syrup
en:carrot,Carrot
en:glucose-syrup,Glucose syrup
en:stabiliser,Stabiliser
en:butter,Butter
en:modified-corn-starch,Modified corn starch
en:skimmed-milk,Skimmed milk
en:pork,Pork
en:chocolate,Chocolate
en:lemon,Lemon
en:reduced-iron,Reduced iron
en:soya-bean,Soya bean
en:thickener,Thickener
en:berries,Berries
en:meat,Meat
en:natural-and-artificial-flavouring,Natural and artificial flavouring
en:e407,E407
en:e450,E450
en:chili-pepper,Chili pepper
en:animal-protein,Animal protein
en:acidity-regulator,Acidity regulator
en:apple,Apple
en:milk-proteins,Milk proteins
en:vanilla,Vanilla
en:olive-oil,Olive oil
en:e440a,E440a
en:gluten,Gluten
en:e250,E250
en:potato,Potato
en:yeast-extract,Yeast extract
en:e150a,E150a
en:canola-oil,Canola oil
en:almond,Almond
en:garlic-powder,Garlic powder
en:colza-oil,Colza oil
en:e341,E341
en:poultry,Poultry
en:vegetable-protein,Vegetable protein
en:oat,Oat
en:honey,Honey
en:e129,E129
en:barley,Barley
en:cocoa-powder,Cocoa powder
en:milkfat,Milkfat
en:rice-flour,Rice flour
en:high-fructose-corn-syrup,High fructose corn syrup
en:e270,E270
en:e410,E410
en:pasteurised-milk,Pasteurised milk
en:parsley,Parsley
en:malt,Malt
en:pork-meat,Pork meat
en:tomato-concentrate,Tomato concentrate
en:paprika,Paprika
en:lactose,Lactose
en:e102,E102
en:mustard,Mustard
en:potato-starch,Potato starch
en:sauce,Sauce
en:vitamin-a,Vitamin A
en:alcohol,Alcohol
en:turmeric,Turmeric
en:sodium,Sodium
en:e133,E133
en:fish,Fish
en:whole-milk-powder,Whole milk powder
en:e339,E339
en:e160b,E160b
en:celery,Celery
en:coconut,Coconut
en:grape,Grape
en:wheat-gluten,Wheat gluten
en:vitamin-d,Vitamin D
en:fiber,Fiber
en:coconut-oil,Coconut oil
en:peanut,Peanut
en:barley-flour,Barley flour
en:beef,Beef
en:red-bell-pepper,Red bell pepper
en:e211,E211
en:black-pepper,Black pepper
en:sodium-citrate,Sodium citrate
en:semolina,Semolina
en:chicken,Chicken
en:egg-yolk,Egg yolk
en:egg-white,Egg white
en:malted-barley,Malted barley
en:vegetable-fiber,Vegetable fiber
en:wheat-starch,Wheat starch
en:hydrolysed-vegetable-protein,Hydrolysed vegetable protein
en:sunflower,Sunflower
en:e450i,E450i
en:barley-malt-flour,Barley malt flour
en:e160a,E160a
en:e428,E428
en:vanilla-flavouring,Vanilla flavouring
en:virgin-olive-oil,Virgin olive oil
en:palm-kernel-oil-and-fat,Palm kernel oil and fat
en:fortified-wheat-flour,Fortified wheat flour
en:e414,E414
en:retinyl-palmitate,Retinyl palmitate
en:e422,E422
en:vegetable-fat,Vegetable fat
en:coating,Coating
en:e110,E110
en:durum-wheat,Durum wheat
en:cinnamon,Cinnamon
en:extra-virgin-olive-oil,Extra virgin olive oil
en:orange,Orange
en:palm-kernel-oil,Palm kernel oil
en:whey-powder,Whey powder
en:e301,E301
en:e621,E621
en:gelling-agent,Gelling agent
en:sunflower-lecithin,Sunflower lecithin
en:vitamin-b6,Vitamin B6
en:vitamin-c,Vitamin C
en:invert-sugar,Invert sugar
en:brown-sugar,Brown sugar
en:distilled-vinegar,Distilled vinegar
en:strawberry,Strawberry
en:vanilla-extract,Vanilla extract
en:soy-protein,Soy protein
en:molasses,Molasses
en:wholemeal-flour,Wholemeal flour
en:e341i,E341i
en:bell-pepper,Bell pepper
en:coagulating-enzyme,Coagulating enzyme
en:lemon-juice,Lemon juice
en:basil,Basil
en:natural-vanilla-flavouring,Natural vanilla flavouring
en:durum-wheat-semolina,Durum wheat semolina
en:e466,E466
en:corn-flour,Corn flour
en:sesame,Sesame
en:hazelnut,Hazelnut
en:e170,E170
en:e296,E296
en:rapeseed,Rapeseed
en:e509,E509
en:ginger,Ginger
en:e955,E955
en:butterfat,Butterfat
en:dehydrated-onion,Dehydrated onion
en:dough,Dough
en:whole-milk,Whole milk
en:e170i,E170i
en:mustard-seed,Mustard seed
en:e503,E503
en:coriander,Coriander
en:broth,Broth
en:contains-2-and-less-of,contains-2-and-less-of
en:e160c,E160c
en:vitamin-b12,Vitamin B12
en:whole-egg,Whole egg
en:e316,E316
en:palm,Palm
en:e420,E420
en:concentrated-lemon-juice,Concentrated lemon juice
en:animal-fat,Animal fat
en:sweetener,Sweetener
en:filtered-water,Filtered water
en:oat-flakes,Oat flakes
en:e160ai,E160ai
en:puree,Purée
en:fat-reduced-cocoa-powder,Fat reduced cocoa powder
en:e950,E950
en:lemon-juice-concentrate,Lemon juice concentrate
en:rennet,Rennet
en:whole-wheat-flour,Whole wheat flour
en:e262,E262
en:carbonated-water,Carbonated water
en:cholecalciferol,Cholecalciferol
en:e903,E903
